Time	CpX	CpY	BottomLeft	BottomRight	TopLeft	TopRight	Weight	RAWBottomLeft	RAWBottomRight	RAWTopLeft	RAWTopRight
0.000     	     0.568	    -3.999	    -0.463	    -0.815	    -0.468	    -0.167	    -0.195	     15918	      5350	      8796	     10342
0.023     	    20.379	     3.023	     0.112	    -0.815	    -0.167	    -1.016	    -0.192	     15924	      5350	      8799	     10333
0.048     	    13.747	     1.796	     0.207	    -0.815	    -0.468	    -0.355	    -0.146	     15925	      5350	      8796	     10340
0.073     	    28.846	    -9.603	    -0.080	    -0.218	     0.135	    -0.167	    -0.034	     15922	      5356	      8802	     10342
0.101     	     6.942	     2.904	    -0.176	    -0.317	    -0.267	    -0.544	    -0.133	     15921	      5355	      8798	     10338
0.123     	     6.942	     2.904	    -0.176	    -0.317	    -0.267	    -0.544	    -0.133	     15921	      5355	      8798	     10338
0.148     	     0.803	     8.561	     0.016	    -0.118	    -0.368	    -0.261	    -0.075	     15923	      5357	      8797	     10341
0.173     	    15.364	     2.515	    -0.080	    -0.317	    -0.066	    -0.544	    -0.103	     15922	      5355	      8800	     10338
0.199     	   -20.658	   -31.592	    -0.654	    -0.317	     0.135	     0.305	    -0.054	     15916	      5355	      8802	     10347
0.223     	     3.094	    -4.447	    -0.271	    -0.914	    -0.468	    -0.072	    -0.176	     15920	      5349	      8796	     10343
0.248     	     0.795	    -3.957	    -0.176	    -0.715	    -0.468	     0.022	    -0.136	     15921	      5351	      8796	     10344
0.273     	     7.466	   -10.880	    -0.271	    -0.715	    -0.066	     0.022	    -0.105	     15920	      5351	      8800	     10344
0.297     	    12.301	    -0.856	    -0.271	    -0.317	     0.034	    -0.544	    -0.112	     15920	      5355	      8801	     10338
0.323     	   -53.115	    58.633	     0.112	     0.180	    -0.368	    -0.072	    -0.015	     15924	      5360	      8797	     10343
0.348     	    -1.010	     3.186	    -0.463	    -0.118	    -0.368	    -0.638	    -0.162	     15918	      5357	      8797	     10337
0.373     	     4.461	    -1.213	    -0.271	    -0.616	    -0.368	    -0.355	    -0.164	     15920	      5352	      8797	     10340
0.398     	     0.471	     2.987	    -0.080	    -0.417	    -0.569	    -0.261	    -0.135	     15922	      5354	      8795	     10341
0.423     	    -4.664	    -0.980	    -0.367	    -0.019	    -0.066	    -0.261	    -0.073	     15919	      5358	      8800	     10341
0.447     	    27.871	     0.063	     0.112	    -0.616	     0.034	    -0.544	    -0.103	     15924	      5352	      8801	     10338
0.474     	     9.887	    -1.539	    -0.176	    -0.118	     0.034	    -0.261	    -0.053	     15921	      5357	      8801	     10341
0.498     	    -1.064	    -4.104	    -0.367	    -0.317	    -0.167	    -0.167	    -0.104	     15919	      5355	      8799	     10342
0.523     	    -5.387	   -13.809	    -0.176	    -0.417	    -0.167	     0.211	    -0.056	     15921	      5354	      8799	     10346
0.549     	     5.714	     2.213	     0.016	    -0.516	    -0.468	    -0.261	    -0.126	     15923	      5353	      8796	     10341
0.573     	     6.857	   -12.726	    -0.750	    -1.113	     0.135	    -0.072	    -0.184	     15915	      5347	      8802	     10343
0.598     	    -5.563	     1.910	    -0.271	     0.180	     0.135	    -0.261	    -0.022	     15920	      5360	      8802	     10341
0.623     	    -4.070	     0.917	    -0.367	    -0.516	    -0.770	    -0.261	    -0.195	     15919	      5353	      8793	     10341
0.648     	    39.437	    -7.532	     0.016	    -0.914	     0.436	    -0.638	    -0.112	     15923	      5349	      8805	     10337
0.673     	    11.421	    -0.497	     0.016	    -1.014	    -0.468	    -0.450	    -0.196	     15923	      5348	      8796	     10339
0.697     	    -6.715	    -7.278	    -1.037	    -0.815	    -0.468	     0.022	    -0.235	     15912	      5350	      8796	     10344
0.723     	    28.547	     1.364	     0.112	    -0.516	     0.034	    -0.544	    -0.093	     15924	      5353	      8801	     10338
0.748     	     7.629	     2.217	     0.207	    -0.914	    -0.770	    -0.261	    -0.177	     15925	      5349	      8793	     10341
0.773     	   -15.186	     4.578	    -0.080	    -0.118	    -0.468	     0.022	    -0.066	     15922	      5357	      8796	     10344
0.798     	    -1.360	     6.126	    -0.176	    -0.118	    -0.468	    -0.450	    -0.124	     15921	      5357	      8796	     10339
0.823     	    -3.143	     1.473	    -0.367	    -0.118	    -0.267	    -0.355	    -0.113	     15919	      5357	      8798	     10340
0.848     	    -6.102	     1.819	    -0.271	    -0.417	    -0.770	    -0.167	    -0.166	     15920	      5354	      8793	     10342
0.873     	    11.370	    -4.259	    -0.176	    -0.516	    -0.066	    -0.261	    -0.104	     15921	      5353	      8800	     10341
0.898     	    26.726	    -1.866	    -0.176	    -0.118	     0.235	    -0.450	    -0.052	     15921	      5357	      8803	     10339
0.923     	     0.336	    29.270	     0.207	     0.180	    -0.468	    -0.450	    -0.054	     15925	      5360	      8796	     10339
0.949     	     2.156	    -0.353	    -0.558	    -0.616	    -0.468	    -0.638	    -0.233	     15917	      5352	      8796	     10337
0.973     	     9.013	   -10.483	    -0.080	    -0.715	    -0.167	     0.117	    -0.086	     15922	      5351	      8799	     10345
0.998     	    -0.877	    -1.307	    -0.367	    -0.417	    -0.368	    -0.261	    -0.144	     15919	      5354	      8797	     10341
1.023     	    19.470	    -5.445	    -0.176	    -0.417	     0.135	    -0.355	    -0.083	     15921	      5354	      8802	     10340
1.048     	     9.317	   -10.972	    -0.367	    -0.417	     0.135	    -0.167	    -0.083	     15919	      5354	      8802	     10342
1.074     	     0.574	     3.507	    -0.080	    -0.317	    -0.468	    -0.261	    -0.115	     15922	      5355	      8796	     10341
1.098     	     3.524	     0.552	     0.016	    -0.417	    -0.368	    -0.072	    -0.086	     15923	      5354	      8797	     10343
1.123     	     9.992	    -2.671	    -0.654	    -1.213	    -0.167	    -1.016	    -0.311	     15916	      5346	      8799	     10333
1.148     	     0.766	    -0.676	    -0.367	    -0.218	    -0.167	    -0.355	    -0.113	     15919	      5356	      8799	     10340
1.173     	    -3.740	    -6.502	     0.112	     0.081	     0.034	     0.022	     0.025	     15924	      5359	      8801	     10344
1.198     	     1.076	    -3.363	    -0.367	    -0.218	    -0.066	    -0.261	    -0.093	     15919	      5356	      8800	     10341
1.223     	     0.287	     0.720	    -0.846	    -0.118	    -0.167	    -0.921	    -0.209	     15914	      5357	      8799	     10334
1.248     	    -3.998	     6.855	    -0.176	    -0.019	    -0.368	    -0.355	    -0.094	     15921	      5358	      8797	     10340
1.273     	    25.354	     7.104	     0.112	    -0.218	    -0.066	    -0.355	    -0.054	     15924	      5356	      8800	     10340
1.298     	    -4.659	   -21.624	     0.303	     0.479	     0.034	    -0.261	     0.057	     15926	      5363	      8801	     10341
1.323     	     3.969	    10.420	    -0.080	    -0.019	    -0.569	    -0.921	    -0.162	     15922	      5358	      8795	     10334
1.349     	    -2.302	    -5.707	    -0.367	    -0.616	    -0.368	     0.022	    -0.136	     15919	      5352	      8797	     10344
1.373     	     4.720	     2.008	    -0.176	    -0.616	    -0.569	    -0.544	    -0.194	     15921	      5352	      8795	     10338
1.398     	   -15.001	    -1.367	    -0.654	    -0.019	    -0.368	    -0.167	    -0.123	     15916	      5358	      8797	     10342
1.423     	    40.620	    11.852	    -0.080	     0.081	    -0.066	     0.400	     0.034	     15922	      5359	      8800	     10348
1.448     	    -4.839	    12.589	     0.112	    -0.118	     0.034	     0.211	     0.024	     15924	      5357	      8801	     10346
1.473     	   -20.403	   -35.781	    -0.271	    -0.218	     0.034	     0.211	    -0.025	     15920	      5356	      8801	     10346
1.498     	    -1.818	     8.753	     0.303	    -0.417	    -0.770	     0.022	    -0.088	     15926	      5354	      8793	     10344
1.523     	    15.146	    -1.949	     0.112	    -0.715	    -0.267	    -0.167	    -0.106	     15924	      5351	      8798	     10342
1.548     	    -6.010	    -1.062	    -0.463	    -0.417	    -0.569	    -0.167	    -0.165	     15918	      5354	      8795	     10342
1.573     	     0.354	    -1.325	    -0.558	    -0.715	    -0.569	    -0.450	    -0.234	     15917	      5351	      8795	     10339
1.598     	    -2.962	    -0.545	    -0.176	    -0.417	    -0.468	    -0.072	    -0.116	     15921	      5354	      8796	     10343
1.623     	    14.126	    -2.514	    -0.176	    -0.317	     0.034	    -0.355	    -0.083	     15921	      5355	      8801	     10340
1.648     	    15.604	    -4.358	    -0.176	    -0.516	     0.034	    -0.355	    -0.103	     15921	      5353	      8801	     10340
1.673     	    -0.924	     0.380	    -0.080	    -0.616	    -0.670	    -0.072	    -0.147	     15922	      5352	      8794	     10343
1.698     	     1.366	    -3.854	     0.112	    -0.616	    -0.468	     0.211	    -0.078	     15924	      5352	      8796	     10346
1.723     	    69.328	   -65.880	    -0.271	    -0.815	     0.637	     0.117	    -0.034	     15920	      5350	      8807	     10345
1.748     	    11.264	     4.263	     0.016	    -0.218	    -0.167	    -0.261	    -0.064	     15923	      5356	      8799	     10341
1.773     	    -3.551	    -2.470	    -0.558	    -0.715	    -0.670	    -0.167	    -0.215	     15917	      5351	      8794	     10342
1.798     	    -6.672	     0.638	    -0.271	    -0.118	    -0.267	    -0.167	    -0.084	     15920	      5357	      8798	     10342
1.824     	   -54.754	    -6.541	    -0.176	    -0.019	    -0.267	     0.211	    -0.026	     15921	      5358	      8798	     10346
1.848     	   223.651	  -290.074	    -0.080	    -0.616	     0.336	     0.305	    -0.006	     15922	      5352	      8804	     10347
1.873     	    -4.845	    -3.393	    -0.367	    -0.616	    -0.569	     0.022	    -0.156	     15919	      5352	      8795	     10344
1.897     	  -445.407	   -27.213	     0.399	    -0.317	     0.135	    -0.167	     0.005	     15927	      5355	      8802	     10342
1.923     	     9.037	    11.593	     0.112	    -0.118	    -0.267	    -0.261	    -0.055	     15924	      5357	      8798	     10341
1.948     	     7.791	     0.852	    -0.080	    -0.715	    -0.468	    -0.450	    -0.175	     15922	      5351	      8796	     10339
1.973     	     0.765	    -0.583	    -0.080	    -0.516	    -0.468	    -0.072	    -0.116	     15922	      5353	      8796	     10343
1.997     	    -4.136	    -0.750	    -0.846	    -0.417	    -0.569	    -0.544	    -0.242	     15914	      5354	      8795	     10338
2.023     	    14.675	     4.094	    -0.080	    -0.218	    -0.066	    -0.544	    -0.093	     15922	      5356	      8800	     10338
2.048     	    -4.221	    -7.204	    -0.271	    -0.317	    -0.167	     0.022	    -0.075	     15920	      5355	      8799	     10344
2.073     	    48.849	   -38.067	    -0.271	    -0.616	     0.537	    -0.072	    -0.043	     15920	      5352	      8806	     10343
2.097     	   -12.452	    -4.211	    -0.271	    -0.019	    -0.066	    -0.072	    -0.044	     15920	      5358	      8800	     10343
2.123     	     3.100	    -4.202	    -0.367	    -0.317	    -0.066	    -0.261	    -0.103	     15919	      5355	      8800	     10341
2.148     	    13.200	    -7.555	    -0.176	    -0.417	     0.034	    -0.167	    -0.074	     15921	      5354	      8801	     10342
2.172     	    23.682	    19.526	     0.494	    -0.317	    -0.468	    -0.261	    -0.056	     15928	      5355	      8796	     10341
2.198     	   -14.729	     0.463	    -0.654	    -0.218	    -0.871	    -0.072	    -0.185	     15916	      5356	      8792	     10343
2.223     	   -14.729	     0.463	    -0.654	    -0.218	    -0.871	    -0.072	    -0.185	     15916	      5356	      8792	     10343
2.248     	    -0.540	    -0.720	    -0.654	    -0.715	    -0.670	    -0.544	    -0.264	     15916	      5351	      8794	     10338
2.273     	    28.298	   -21.501	    -0.271	    -0.317	     0.336	    -0.167	    -0.043	     15920	      5355	      8804	     10342
2.298     	   249.679	    44.839	    -0.367	     0.280	     0.034	     0.117	     0.006	     15919	      5361	      8801	     10345
2.323     	     2.540	    -0.732	    -0.750	    -0.715	    -0.468	    -0.827	    -0.282	     15915	      5351	      8796	     10335
2.347     	    10.941	     4.220	     0.207	    -0.417	    -0.368	    -0.072	    -0.066	     15925	      5354	      8797	     10343
2.373     	   -43.433	   -21.514	     0.686	     0.081	     0.135	    -0.355	     0.056	     15930	      5359	      8802	     10340
2.399     	    75.002	   -60.174	    -0.176	    -0.218	     0.336	    -0.072	    -0.013	     15921	      5356	      8804	     10343
2.423     	     7.371	    -4.322	    -0.558	    -0.317	     0.135	    -0.544	    -0.131	     15917	      5355	      8802	     10338
2.447     	    13.867	    32.360	     0.207	     0.081	    -0.267	    -0.355	    -0.034	     15925	      5359	      8798	     10340
2.473     	   182.268	   -30.621	     0.303	    -0.417	    -0.066	     0.117	    -0.007	     15926	      5354	      8800	     10345
2.497     	  -293.844	   -48.244	     0.207	    -0.019	     0.336	    -0.450	     0.008	     15925	      5358	      8804	     10339
2.523     	    -0.430	   -32.190	    -0.558	    -0.616	     0.235	     0.305	    -0.065	     15917	      5352	      8803	     10347
2.548     	    -1.650	     3.383	    -0.080	    -0.218	    -0.368	    -0.167	    -0.085	     15922	      5356	      8797	     10342
2.573     	     0.948	    42.913	    -0.080	     0.479	    -0.066	    -0.638	    -0.031	     15922	      5363	      8800	     10337
2.598     	    -2.177	   -54.061	    -0.271	    -0.417	     0.135	     0.305	    -0.025	     15920	      5354	      8802	     10347
2.623     	    -3.998	     6.855	    -0.176	    -0.019	    -0.368	    -0.355	    -0.094	     15921	      5358	      8797	     10340
2.649     	    26.467	   -30.879	    -0.558	    -0.715	     0.637	    -0.072	    -0.072	     15917	      5351	      8807	     10343
2.673     	   -15.038	    -6.435	    -0.367	    -0.118	    -0.167	     0.022	    -0.064	     15919	      5357	      8799	     10344
2.697     	    26.107	     0.732	     0.112	    -0.317	    -0.066	    -0.167	    -0.045	     15924	      5355	      8800	     10342
2.723     	    36.539	     0.344	     0.494	    -0.815	    -0.267	    -0.072	    -0.067	     15928	      5350	      8798	     10343
2.748     	    -0.720	    -2.593	    -0.463	    -0.516	    -0.368	    -0.261	    -0.164	     15918	      5353	      8797	     10341
2.773     	     5.686	    -3.398	    -0.271	    -0.317	    -0.066	    -0.261	    -0.093	     15920	      5355	      8800	     10341
2.797     	  -205.471	  -140.879	    -0.271	    -0.019	     0.034	     0.211	    -0.005	     15920	      5358	      8801	     10346
2.823     	    22.637	     9.080	     0.207	    -0.417	    -0.167	    -1.393	    -0.181	     15925	      5354	      8799	     10329
2.848     	   465.908	   405.017	    -0.080	    -0.317	    -0.167	     0.588	     0.002	     15922	      5355	      8799	     10350
2.873     	     5.951	   -10.771	    -0.271	    -0.616	    -0.066	     0.022	    -0.095	     15920	      5352	      8800	     10344
2.897     	   -18.092	    -1.232	    -0.463	    -0.218	    -0.670	     0.117	    -0.126	     15918	      5356	      8794	     10345
2.924     	    30.737	    -1.008	     0.303	    -0.914	    -0.066	    -0.450	    -0.115	     15926	      5349	      8800	     10339
2.947     	     4.435	    -0.590	     0.112	    -0.715	    -0.569	     0.022	    -0.117	     15924	      5351	      8795	     10344
2.973     	    -4.541	   -17.589	    -0.654	    -0.616	     0.034	     0.211	    -0.105	     15916	      5352	      8801	     10346
2.998     	    41.977	     9.354	    -0.271	     0.280	     0.235	    -0.167	     0.008	     15920	      5361	      8803	     10342
3.023     	     1.745	    -1.303	    -0.080	    -0.218	    -0.167	    -0.072	    -0.055	     15922	      5356	      8799	     10343
3.048     	    32.601	   -37.899	    -0.176	    -0.317	     0.235	     0.022	    -0.024	     15921	      5355	      8803	     10344
3.073     	     3.063	    -8.495	     0.016	    -0.317	    -0.167	     0.117	    -0.036	     15923	      5355	      8799	     10345
3.097     	     1.579	    -7.805	    -0.558	    -0.019	     0.235	    -0.355	    -0.071	     15917	      5358	      8803	     10340
3.123     	   -10.896	     4.290	    -0.463	    -0.019	    -0.670	    -0.355	    -0.154	     15918	      5358	      8794	     10340
3.148     	    24.741	     0.411	     0.112	    -0.417	    -0.066	    -0.261	    -0.065	     15924	      5354	      8800	     10341
3.173     	    -5.048	    -1.986	    -0.654	    -0.218	    -0.267	    -0.355	    -0.153	     15916	      5356	      8798	     10340
3.198     	     7.148	    -1.289	    -0.367	    -0.516	    -0.167	    -0.544	    -0.163	     15919	      5353	      8799	     10338
3.223     	   -81.642	  -185.980	    -0.176	    -0.317	     0.034	     0.400	    -0.006	     15921	      5355	      8801	     10348
3.247     	   -11.308	     0.564	    -0.271	    -0.317	    -0.670	     0.022	    -0.126	     15920	      5355	      8794	     10344
3.273     	  -523.023	  -181.003	     0.590	    -0.317	    -0.167	    -0.072	     0.003	     15929	      5355	      8799	     10343
3.298     	    27.244	    -8.892	     0.112	    -0.417	    -0.066	     0.022	    -0.036	     15924	      5354	      8800	     10344
3.323     	    15.318	   -18.298	    -0.271	    -0.914	     0.135	     0.117	    -0.095	     15920	      5349	      8802	     10345
3.347     	   129.851	    10.044	     0.207	    -0.218	     0.135	    -0.261	    -0.014	     15925	      5356	      8802	     10341
3.373     	    -6.020	    12.005	    -0.176	     0.180	    -0.468	    -0.544	    -0.103	     15921	      5360	      8796	     10338
3.398     	    11.124	    -7.769	     0.016	    -1.213	    -0.368	     0.117	    -0.148	     15923	      5346	      8797	     10345
3.423     	    -6.780	    -0.537	    -0.367	    -0.218	    -0.368	    -0.167	    -0.114	     15919	      5356	      8797	     10342
3.448     	    -6.587	    -6.108	    -0.558	    -0.516	    -0.368	     0.022	    -0.145	     15917	      5353	      8797	     10344
3.473     	    17.669	   -14.071	     0.016	    -0.616	    -0.066	     0.117	    -0.056	     15923	      5352	      8800	     10345
3.498     	    -8.738	    -7.545	    -0.750	    -0.317	    -0.167	    -0.072	    -0.133	     15915	      5355	      8799	     10343
3.523     	    -8.112	     4.283	    -0.176	    -0.218	    -0.670	    -0.167	    -0.125	     15921	      5356	      8794	     10342
3.548     	     1.258	    32.866	     0.112	     0.180	    -0.267	    -0.355	    -0.034	     15924	      5360	      8798	     10340
3.573     	    48.394	    41.932	     0.207	     0.081	    -0.066	    -0.450	    -0.023	     15925	      5359	      8800	     10339
3.598     	   -22.231	     2.242	    -0.080	    -0.019	    -0.167	     0.022	    -0.025	     15922	      5358	      8799	     10344
3.623     	    24.518	   -10.985	    -0.080	    -0.715	     0.135	    -0.167	    -0.084	     15922	      5351	      8802	     10342
3.648     	     5.110	     4.937	     0.112	    -0.616	    -0.770	    -0.450	    -0.176	     15924	      5352	      8793	     10339
3.672     	     6.979	     0.365	    -0.080	    -0.417	    -0.267	    -0.261	    -0.105	     15922	      5354	      8798	     10341
3.698     	     1.258	     0.222	    -0.176	    -0.914	    -0.871	    -0.261	    -0.227	     15921	      5349	      8792	     10341
3.723     	     1.337	    -3.789	    -0.941	    -0.616	    -0.167	    -0.638	    -0.241	     15913	      5352	      8799	     10337
3.748     	    13.151	    -5.576	    -0.271	    -0.616	     0.034	    -0.355	    -0.123	     15920	      5352	      8801	     10340
3.772     	    18.527	   -10.474	    -0.080	    -0.516	     0.034	    -0.072	    -0.065	     15922	      5353	      8801	     10343
3.798     	    23.567	     0.134	     0.112	    -0.616	    -0.066	    -0.450	    -0.104	     15924	      5352	      8800	     10339
3.823     	    -2.279	     1.133	    -0.080	    -0.616	    -0.770	    -0.072	    -0.157	     15922	      5352	      8793	     10343
3.848     	    24.220	    -3.196	    -0.271	    -0.417	     0.336	    -0.733	    -0.111	     15920	      5354	      8804	     10336
3.873     	     4.864	    -6.248	     0.112	    -0.616	    -0.368	     0.211	    -0.067	     15924	      5352	      8797	     10346
3.898     	     9.715	    -1.456	    -0.080	    -0.218	    -0.066	    -0.167	    -0.054	     15922	      5356	      8800	     10342
3.923     	    11.894	   -13.519	    -0.463	    -0.616	     0.235	    -0.167	    -0.103	     15918	      5352	      8803	     10342
3.948     	     4.926	     3.552	    -0.271	    -0.218	    -0.267	    -0.638	    -0.142	     15920	      5356	      8798	     10337
3.973     	     3.568	   -16.448	    -0.271	    -0.118	     0.135	    -0.072	    -0.033	     15920	      5357	      8802	     10343
3.998     	    -9.454	     0.594	    -0.271	    -0.218	    -0.468	    -0.072	    -0.105	     15920	      5356	      8796	     10343
4.023     	    20.525	    -4.998	    -0.271	    -0.715	     0.235	    -0.638	    -0.142	     15920	      5351	      8803	     10337
4.048     	    24.973	   -14.039	    -0.367	    -0.616	     0.436	    -0.355	    -0.092	     15919	      5352	      8805	     10340
4.073     	     1.452	     2.805	    -0.367	    -0.317	    -0.468	    -0.638	    -0.183	     15919	      5355	      8796	     10337
4.102     	     4.879	    -8.856	    -0.271	    -0.715	    -0.167	     0.022	    -0.115	     15920	      5351	      8799	     10344
4.123     	    -7.592	    -9.067	    -0.654	    -0.417	    -0.167	     0.022	    -0.124	     15916	      5354	      8799	     10344
4.148     	    -6.901	    -2.963	    -0.750	    -0.118	    -0.167	    -0.355	    -0.142	     15915	      5357	      8799	     10340
4.174     	    10.507	   -13.170	    -0.176	    -0.815	    -0.066	     0.117	    -0.096	     15921	      5350	      8800	     10345
4.198     	    -2.007	    -0.372	    -0.367	    -0.516	    -0.569	    -0.261	    -0.175	     15919	      5353	      8795	     10341
4.225     	    -6.197	   -12.966	    -0.654	    -0.516	    -0.066	     0.117	    -0.114	     15916	      5353	      8800	     10345
4.248     	     8.137	    -1.452	    -0.271	    -0.516	    -0.167	    -0.450	    -0.143	     15920	      5353	      8799	     10339
4.273     	    -0.834	   -12.955	    -0.176	    -0.715	    -0.267	     0.305	    -0.087	     15921	      5351	      8798	     10347
4.298     	    -5.813	   -12.959	    -0.271	    -0.616	    -0.267	     0.305	    -0.087	     15920	      5352	      8798	     10347
4.323     	    22.652	     4.441	     0.399	    -0.815	    -0.368	    -0.544	    -0.136	     15927	      5350	      8797	     10338
4.348     	     6.306	    -7.512	    -0.558	    -0.417	     0.135	    -0.355	    -0.122	     15917	      5354	      8802	     10340
4.373     	     6.065	   -11.069	    -0.463	    -0.417	     0.135	    -0.167	    -0.093	     15918	      5354	      8802	     10342
4.398     	     1.322	     5.356	     0.016	    -0.516	    -0.871	    -0.450	    -0.186	     15923	      5353	      8792	     10339
4.423     	     8.161	    -8.525	    -0.271	    -1.213	    -0.267	     0.022	    -0.176	     15920	      5346	      8798	     10344
4.448     	    -5.236	    -4.075	    -0.463	    -0.218	    -0.167	    -0.167	    -0.103	     15918	      5356	      8799	     10342
4.473     	     3.716	     1.206	     0.016	    -0.616	    -0.569	    -0.167	    -0.136	     15923	      5352	      8795	     10342
4.498     	     0.281	     9.783	    -0.080	    -0.019	    -0.468	    -0.544	    -0.113	     15922	      5358	      8796	     10338
4.523     	    25.170	   -20.256	    -0.176	    -0.815	     0.235	     0.022	    -0.075	     15921	      5350	      8803	     10344
4.547     	    -0.868	    -3.270	    -0.080	    -0.715	    -0.569	     0.117	    -0.127	     15922	      5351	      8795	     10345
4.573     	    -8.538	     6.888	    -0.176	    -0.019	    -0.468	    -0.261	    -0.094	     15921	      5358	      8796	     10341
4.598     	     6.454	   -12.998	    -0.463	    -0.815	     0.034	     0.022	    -0.125	     15918	      5350	      8801	     10344
4.624     	    -5.274	    12.049	    -0.176	     0.180	    -0.267	    -0.450	    -0.073	     15921	      5360	      8798	     10339
4.648     	    10.271	     1.080	    -0.176	    -0.417	    -0.167	    -0.544	    -0.133	     15921	      5354	      8799	     10338
4.673     	    12.431	    -7.057	    -0.271	    -0.616	     0.034	    -0.261	    -0.114	     15920	      5352	      8801	     10341
4.698     	    22.936	     6.903	     0.399	    -0.616	    -0.368	    -0.450	    -0.106	     15927	      5352	      8797	     10339
4.723     	   -21.438	    -0.967	    -0.558	    -0.218	    -0.871	     0.211	    -0.147	     15917	      5356	      8792	     10346
4.748     	     9.511	     6.547	     0.303	    -0.516	    -0.569	    -0.167	    -0.097	     15926	      5353	      8795	     10342
4.773     	    14.719	    -8.251	     0.016	    -0.815	    -0.167	     0.022	    -0.096	     15923	      5350	      8799	     10344
4.797     	  -549.320	  -122.243	    -0.463	     0.280	     0.034	     0.117	    -0.003	     15918	      5361	      8801	     10345
4.823     	    11.251	     7.020	     0.303	    -0.616	    -0.670	    -0.544	    -0.156	     15926	      5352	      8794	     10338
4.848     	    15.469	    -2.007	    -0.176	    -0.815	    -0.066	    -0.638	    -0.173	     15921	      5350	      8800	     10337
4.873     	    25.080	    11.923	    -0.080	     0.081	     0.135	    -0.827	    -0.071	     15922	      5359	      8802	     10335
4.898     	   -39.494	    21.099	     0.016	     0.081	    -0.368	     0.022	    -0.025	     15923	      5359	      8797	     10344
4.924     	    -1.433	    -4.646	    -0.463	    -1.014	    -0.670	     0.022	    -0.217	     15918	      5348	      8794	     10344
4.948     	    17.043	     8.466	    -0.080	    -0.118	    -0.066	    -1.110	    -0.140	     15922	      5357	      8800	     10332
4.974     	     3.512	     3.331	    -0.271	    -0.019	    -0.066	    -0.450	    -0.082	     15920	      5358	      8800	     10339
4.998     	   -12.869	    28.442	     0.303	     0.280	    -0.971	    -0.450	    -0.086	     15926	      5361	      8791	     10339
5.023     	     0.773	    -7.300	    -0.750	    -0.616	    -0.066	    -0.261	    -0.173	     15915	      5352	      8800	     10341
5.048     	    12.539	     1.692	    -0.367	    -0.516	    -0.066	    -1.110	    -0.210	     15919	      5353	      8800	     10332
5.073     	    -2.906	     6.300	     0.112	    -0.218	    -0.368	     0.022	    -0.046	     15924	      5356	      8797	     10344
5.098     	    17.976	   -10.035	    -0.271	    -1.213	     0.135	    -0.261	    -0.164	     15920	      5346	      8802	     10341
5.123     	    17.888	     5.108	     0.303	    -0.516	    -0.368	    -0.167	    -0.076	     15926	      5353	      8797	     10342
5.148     	    24.792	     7.831	     0.112	    -0.218	    -0.066	    -0.450	    -0.063	     15924	      5356	      8800	     10339
5.172     	   -29.968	    -1.405	    -0.654	     0.081	    -0.569	     0.117	    -0.105	     15916	      5359	      8795	     10345
5.198     	     6.607	    12.021	    -0.080	     0.081	     0.034	    -0.167	    -0.013	     15922	      5359	      8801	     10342
5.223     	    13.605	   -20.029	    -0.271	    -0.715	     0.135	     0.117	    -0.075	     15920	      5351	      8802	     10345
5.248     	    29.265	   -11.392	    -0.176	    -0.715	     0.336	    -0.355	    -0.093	     15921	      5351	      8804	     10340
5.273     	    11.190	    -1.511	    -0.271	    -0.516	    -0.066	    -0.544	    -0.143	     15920	      5353	      8800	     10338
5.298     	   -26.670	    -3.563	    -0.271	    -0.218	    -0.569	     0.305	    -0.077	     15920	      5356	      8795	     10347
5.323     	     9.862	     4.133	     0.016	    -0.317	    -0.267	    -0.355	    -0.094	     15923	      5355	      8798	     10340
5.348     	    25.307	   -24.578	    -0.080	    -0.914	     0.135	     0.211	    -0.066	     15922	      5349	      8802	     10346
5.373     	     5.141	    -1.424	    -0.367	    -0.417	    -0.167	    -0.450	    -0.143	     15919	      5354	      8799	     10339
5.398     	    53.431	     2.648	     0.686	    -1.014	    -0.066	    -0.450	    -0.086	     15930	      5348	      8800	     10339
5.424     	    46.220	   -11.153	     0.016	    -0.616	     0.336	    -0.355	    -0.063	     15923	      5352	      8804	     10340
5.448     	    45.897	    -3.662	     0.112	    -0.516	     0.235	    -0.450	    -0.063	     15924	      5353	      8803	     10339
5.473     	   -22.344	    -1.074	    -0.367	     0.081	    -0.167	    -0.072	    -0.054	     15919	      5359	      8799	     10343
5.498     	    10.590	    19.024	     0.207	    -0.019	    -0.368	    -0.450	    -0.064	     15925	      5358	      8797	     10339
5.523     	    -4.496	    -1.772	    -0.750	    -0.218	    -0.267	    -0.450	    -0.172	     15915	      5356	      8798	     10339
5.548     	    -3.995	   -10.921	    -0.558	    -0.616	    -0.167	     0.117	    -0.125	     15917	      5352	      8799	     10345
5.573     	   -21.077	   -22.876	    -0.558	    -0.218	     0.034	     0.211	    -0.054	     15917	      5356	      8801	     10346
5.598     	   -13.795	     7.369	     0.112	    -0.218	    -0.569	     0.117	    -0.057	     15924	      5356	      8795	     10345
5.623     	    -7.667	    -2.211	    -0.654	    -0.417	    -0.569	    -0.167	    -0.184	     15916	      5354	      8795	     10342
5.648     	     0.459	     1.042	    -0.463	    -0.218	    -0.267	    -0.544	    -0.152	     15918	      5356	      8798	     10338
5.673     	   -44.244	    26.631	     0.303	    -0.317	    -0.267	     0.305	     0.002	     15926	      5355	      8798	     10347
